PCR Module Serial,4plex V2 Qualified?,HCV Qualified? ,CTNG Qualified?,Cleared For Use?,In Service
V28R,No,No,No,No,No
V1000,No,No,No,No,No
V1008,Yes,Yes,Yes,Yes,Yes
V101,No,No,No,No,No
V102,No,No,No,No,No
V1035,Yes,Yes,Yes,Yes,Yes
V1039,Yes,Yes,Yes,Yes,Yes
V1045,yes,yes,yes,Yes,Yes
V1061,No,No,No,No,No
V1070,Yes,Yes,Yes,Yes,Yes
V1084,Yes,Yes,Yes,Yes,Yes
V1086,Yes,Yes,Yes,Yes,Yes
V1088,one more,Yes,,No,Yes
V1108,Troubleshooting,Yes,No,No,Yes
V1111,Yes,Yes,Yes,Yes,Yes
V1115,Yes,Yes,Yes,Yes,Yes
V1119,Yes,Yes,Yes,Yes,Yes
V1143,YES,Yes,two more,No,Yes
V1178,one more,No,No,No,Yes
V120,No,No,No,No,No
V1236,YES,No,No,No,Yes
V1263,YES,No,No,No,Yes
V1291,No,No,No,No,Yes
V1292,No,No,No,No,Yes
V1293,No,No,No,No,Yes
V1294,No,No,No,No,Yes
V1295,No,No,No,No,Yes
V1296,No,No,No,No,Yes
V132,Yes,Yes,Yes,Yes,Yes
V148,No,No,No,No,No
V158R,No,No,No,No,No
V223R,Yes,Yes,Yes,Yes,Yes
V29,No,No,No,No,No
V30,Yes,Yes,Yes,Yes,Yes
V31R,No,No,No,No,No
V34,No,No,No,No,No
V35R,No,No,No,No,No
V36R,No,No,No,No,No
V37,No,No,No,No,No
V39,No,No,No,No,No
V40R,No,No,No,No,No
V41,No,No,No,No,No
V42,Yes,Yes,YES,Yes,Yes
V44*,No,No,No,No,No
V46*,No,No,No,No,No
V51,No,No,No,No,No
V52R,No,No,No,No,Yes
V53,Yes,Yes,Yes,Yes,Yes
V54R,No,No,No,No,No
V55R,No,No,No,No,Yes
V59R,No,No,No,No,No
V61,No,No,No,No,No
V62R,No,No,No,No,No
V64,No,No,No,No,No
V640,No,No,No,No,No
V649,Yes,Yes,YES,Yes,Yes
V651R,Yes,Yes,Yes,Yes,Yes
V661,No,No,No,No,No
V661,No,No,No,No,No
V662,No,No,No,No,No
V66R,No,No,No,No,No
V675,No,No,No,No,No
V67R,No,No,No,No,No
V684R,Yes,Yes,Yes,Yes,Yes
V687,Yes,Yes,YES,Yes,Yes
V689,Yes,Yes,Yes,Yes,Yes
V69*,No,No,No,No,No
V695,No,No,No,No,No
V70,Yes,Yes,Yes,Yes,Yes
V700R,yes,Yes,Yes,Yes,Yes
V705,Yes,Yes,Yes,Yes,Yes
V708,No,No,No,No,No
V713R,Yes,Yes,Yes,Yes,Yes
V714,No,No,No,No,No
V72,No,No,No,No,No
V729,Yes,Yes,Yes,Yes,Yes
V734,No,No,No,No,No
V735,Yes,Yes,Yes,Yes,Yes
V737,No,No,No,No,No
V738R,No,No,No,No,No
V739,Yes,Yes,Yes,Yes,Yes
V73R,Yes,Yes,Yes,Yes,Yes
V740,No,No,No,No,No
V748,Yes,Yes,yes,Yes,Yes
V749,Yes,Yes,Yes,Yes,Yes
V752,No,No,No,No,No
V753 EXP,No,No,No,No,Yes
V754,No,No,No,No,No
V755,Yes,Yes,Yes,Yes,Yes
V756,No,No,No,No,Yes
V758,No,No,No,No,No
V75,Yes,Yes,Yes,Yes,Yes
V765,No,No,No,No,Yes
V781,Yes,Yes,Yes,Yes,Yes
V797,Yes,Yes,Yes,Yes,Yes
V79R,Yes,Yes,Yes,Yes,Yes
V80R,No,No,No,No,No
V83R,No,No,No,No,No
V85*,No,No,No,No,No
V875,No,No,No,No,No
V881,No,No,No,No,No
V881,No,No,No,No,No
V89R,No,No,No,No,No
V90*,No,No,No,No,No
V903R,Yes,Yes,Yes,Yes,Yes
V913,,Mod Cal or Swap,,No,Yes
V91R*,No,No,No,No,No
V92,Yes,Yes,Yes,Yes,Yes
V921,Yes,Yes,Yes,Yes,Yes
V923,No,No,No,No,No
V935,No,No,No,No,No
V936,No,No,No,No,No
V937,No,No,No,No,No
V93R,No,No,No,No,No
V940,Yes,Yes,Yes,Yes,Yes
V941,No,No,No,No,No
V945,No,No,No,No,No
V949,yes,yes,yes,Yes,Yes
V94R,No,No,No,No,No
V954,YES,No,No,No,Yes
V959,No,No,No,No,No
V95R,No,No,No,No,No
V960,Yes,yes,yes,Yes,Yes
V980,No,No,No,No,No
V981,One more,,,No,Yes
V982,No,No,No,No,Yes
V995,No,No,No,No,No
V996,No,No,No,No,No
V998,No,No,No,No,No
