N500 Serial Number,PCR Module Serial,4Plex V2 Qualified,HCV Qualified?,CTNG Qualified?,Cleared For Use?
N000001,V1086,Yes,Yes,Yes,Yes
N000001,V1293,No,No,No,No
N000001,V1292,No,No,No,No
N000001,V1296,No,No,No,No
N000002,V756,No,No,No,No
N000002,V55R,No,No,No,No
N000002,V765,No,No,No,No
N000002,V52R,No,No,No,No
N000004,V729,Yes,Yes,Yes,Yes
N000004,V1008,Yes,Yes,Yes,Yes
N000004,V921,Yes,Yes,Yes,Yes
N000004,V1111,Yes,Yes,Yes,Yes
N000007,V649,Yes,Yes,YES,Yes
N000007,V42R,Yes,Yes,YES,Yes
N000007,V913R,No,Mod Cal or Swap,No,No
N000007,V687R,Yes,Yes,YES,Yes
N000009,V651R,Yes,Yes,Yes,Yes
N000009,V1070,Yes,Yes,Yes,Yes
N000009,V940,Yes,Yes,Yes,Yes
N000009,V1115,Yes,Yes,Yes,Yes
N000011,V92,Yes,Yes,Yes,Yes
N000011,V960,Yes,yes,yes,Yes
N000011,V70,Yes,Yes,Yes,Yes
N000011,V30,Yes,Yes,Yes,Yes
N000012,V705,Yes,Yes,Yes,Yes
N000012,V223R,Yes,Yes,Yes,Yes
N000012,V689,Yes,Yes,Yes,Yes
N000012,V73R*,Yes,Yes,Yes,Yes
N000013,V1045,yes,yes,yes,Yes
N000013,V79R,Yes,Yes,Yes,Yes
N000013,V1084,Yes,Yes,Yes,Yes
N000013,V53,Yes,Yes,Yes,Yes
N000017,V1295,No,No,No,No
N000017,V1294,No,No,No,No
N000017,V1291,No,No,No,No
N000017,V1035,Yes,Yes,Yes,Yes
N000067,V981,One more,No,No,No
N000067,V781,Yes,Yes,Yes,Yes
N000067,V735R,Yes,Yes,Yes,Yes
N000067,V713R,Yes,Yes,Yes,Yes
N000073,V1143,YES,Yes,two more,No
N000073,V753,No,No,No,No
N000073,V1088,one more,Yes,No,No
N000073,V700,yes,Yes,Yes,Yes
N000075,V797,Yes,Yes,Yes,Yes
N000075,V755R,Yes,Yes,Yes,Yes
N000075,V739,Yes,Yes,Yes,Yes
N000075,V75R,Yes,Yes,Yes,Yes
96000003,V1263,YES,No,No,No
96000003,V1178,one more,No,No,No
96000004,V903R,Yes,Yes,Yes,Yes
96000004,V684,Yes,Yes,Yes,Yes
96000005,V132,Yes,Yes,Yes,Yes
96000005,V1119,Yes,Yes,Yes,Yes
96000008,V954,YES,No,No,No
96000008,V1236,YES,No,No,No
96000131,V749,Yes,Yes,Yes,Yes
96000131,V982,No,No,No,No
96000133,V1108,Troubleshooting,Yes,No,No
96000133,V748,Yes,Yes,yes,Yes
96000178,V1039,Yes,Yes,Yes,Yes
96000178,V949R,yes,yes,yes,Yes
